x,y,z,time,fragment_id
-1.0565,3.0888,9.8066,1604480825177,169
-0.9448,2.011,9.8709,1604480825638,169
-1.4158,1.9484,10.2868,1604480825658,169
-2.8816,2.361,9.1395,1604480825877,169
-2.5846,2.62,10.2122,1604480825898,169
-1.996,2.4875,9.5831,1604480825917,169
-1.0144,2.768,9.0305,1604480826138,169
-1.1596,2.6532,9.5765,1604480826157,169
-1.0703,2.4084,9.7438,1604480826177,169
-1.0143,2.2864,9.2831,1604480826198,169
-1.2783,2.5016,10.9301,1604480826478,169
-1.3845,2.8695,11.0751,1604480826498,169
-1.3171,2.836,8.7367,1604480826698,169
-1.0327,3.5092,8.3236,1604480826718,169
-0.6423,3.0612,8.2391,1604480826738,169
0.3206,2.2337,10.15,1604480827017,169
0.8312,2.1363,9.9162,1604480827038,169
0.852,2.156,9.8989,1604480827058,169
0.398,2.5155,9.5853,1604480827278,169
-0.1572,2.7285,10.3396,1604480827298,169
0.5931,2.1973,9.9547,1604480827317,169
0.3907,4.778,8.1649,1604540697581,170
0.6544,4.5812,8.536,1604540697600,170
0.5747,4.6849,8.3586,1604540697620,170
0.4357,4.6868,8.8704,1604540697640,170
0.7534,4.5831,8.1614,1604540697660,170
-0.9709,4.8377,8.0621,1604540697920,170
-1.2813,4.8327,8.8135,1604540697940,170
-1.1838,5.1496,8.5905,1604540697960,170
-1.2612,5.1895,8.3951,1604540697980,170
0.2917,3.974,9.0904,1604540698461,170
0.0192,3.9057,8.978,1604540698480,170
-0.0681,3.9575,9.3456,1604540698501,170
0.1954,3.8571,9.0509,1604540698521,170
-0.4203,3.8473,9.3149,1604540698680,170
-0.5284,4.1594,9.1092,1604540698701,170
-0.4374,4.2862,9.5662,1604540698720,170
-0.4119,4.0541,9.2711,1604540698740,170
-0.2611,3.8383,9.4509,1604540698960,170
-0.3081,3.7917,9.4847,1604540698980,170
-0.2359,3.6731,9.5076,1604540699001,170
-0.4729,3.9603,9.1462,1604540699281,170
